0,1717430048.595991
1,1717430048.683418
2,1717430048.686422
3,1717430048.690446
4,1717430048.722493
5,1717430048.758749
6,1717430048.790695
7,1717430048.826902
8,1717430048.858655
9,1717430048.891007
10,1717430048.927019
11,1717430048.959223
12,1717430048.9911
13,1717430049.027453
14,1717430049.05952
15,1717430049.095468
16,1717430049.127484
17,1717430049.15945
18,1717430049.195577
19,1717430049.227479
20,1717430049.259511
21,1717430049.295147
22,1717430049.327152
23,1717430049.363438
24,1717430049.395095
25,1717430049.427221
26,1717430049.463506
27,1717430049.495512
28,1717430049.527488
29,1717430049.563454
30,1717430049.595482
31,1717430049.631506
32,1717430049.663105
33,1717430049.694593
34,1717430049.730917
35,1717430049.763233
36,1717430049.799111
37,1717430049.831302
38,1717430049.862795
39,1717430049.898917
40,1717430049.931209
41,1717430049.963321
42,1717430049.999273
43,1717430050.031283
44,1717430050.06715
45,1717430050.099463
46,1717430050.131577
47,1717430050.167282
48,1717430050.199389
49,1717430050.231362
50,1717430050.267082
51,1717430050.299986
52,1717430050.335385
53,1717430050.367289
54,1717430050.399412
55,1717430050.435471
56,1717430050.467437
57,1717430050.499496
58,1717430050.53543
59,1717430050.567329
60,1717430050.603543
61,1717430050.635585
62,1717430050.667462
63,1717430050.703406
64,1717430050.735373
65,1717430050.771396
66,1717430050.803271
67,1717430050.83539
68,1717430050.871509
69,1717430050.903419
70,1717430050.9354
71,1717430050.971262
72,1717430051.003364
73,1717430051.039494
74,1717430051.071539
75,1717430051.103505
76,1717430051.139355
77,1717430051.171361
78,1717430051.203338
79,1717430051.239477
80,1717430051.271503
81,1717430051.306669
82,1717430051.338589
83,1717430051.370541
84,1717430051.406831
85,1717430051.438678
86,1717430051.47148
87,1717430051.506991
88,1717430051.539132
89,1717430051.575263
90,1717430051.607225
91,1717430051.63898
92,1717430051.675208
93,1717430051.707353
94,1717430051.743529
95,1717430051.775521
96,1717430051.807535
97,1717430051.843536
98,1717430051.875561
99,1717430051.907256
100,1717430051.943313
101,1717430051.975653
102,1717430052.011315
103,1717430052.04316
104,1717430052.075437
105,1717430052.111052
106,1717430052.142818
107,1717430052.174898
108,1717430052.21091
109,1717430052.243003
110,1717430052.279163
111,1717430052.311261
112,1717430052.343282
113,1717430052.379068
114,1717430052.410577
115,1717430052.442763
116,1717430052.478605
117,1717430052.511241
118,1717430052.546949
119,1717430052.578666
120,1717430052.610772
121,1717430052.646517
122,1717430052.679133
123,1717430052.715574
124,1717430052.747364
125,1717430052.779275
126,1717430052.81527
127,1717430052.847432
128,1717430052.879972
129,1717430052.915553
130,1717430052.947557
131,1717430052.98329
132,1717430053.015547
